"Status","Class","FriendlyName","InstanceId"
"OK","Processor","Microsoft SQ2 @ 3.15 GHz","ACPI\QUALCOMM_TECHNOLOGIES_INC_-_ARMV8_(64-BIT)_FAMILY_8_MODEL_805_REVISION_D0E\0"
"OK","Processor","Microsoft SQ2 @ 3.15 GHz","ACPI\QUALCOMM_TECHNOLOGIES_INC_-_ARMV8_(64-BIT)_FAMILY_8_MODEL_805_REVISION_D0E\1"
"OK","Processor","Microsoft SQ2 @ 3.15 GHz","ACPI\QUALCOMM_TECHNOLOGIES_INC_-_ARMV8_(64-BIT)_FAMILY_8_MODEL_805_REVISION_D0E\2"
"OK","Processor","Microsoft SQ2 @ 3.15 GHz","ACPI\QUALCOMM_TECHNOLOGIES_INC_-_ARMV8_(64-BIT)_FAMILY_8_MODEL_805_REVISION_D0E\3"
"OK","Processor","Microsoft SQ2 @ 3.15 GHz","ACPI\QUALCOMM_TECHNOLOGIES_INC_-_ARMV8_(64-BIT)_FAMILY_8_MODEL_805_REVISION_D0E\4"
"OK","Processor","Microsoft SQ2 @ 3.15 GHz","ACPI\QUALCOMM_TECHNOLOGIES_INC_-_ARMV8_(64-BIT)_FAMILY_8_MODEL_805_REVISION_D0E\5"
"OK","Processor","Microsoft SQ2 @ 3.15 GHz","ACPI\QUALCOMM_TECHNOLOGIES_INC_-_ARMV8_(64-BIT)_FAMILY_8_MODEL_805_REVISION_D0E\6"
"OK","Processor","Microsoft SQ2 @ 3.15 GHz","ACPI\QUALCOMM_TECHNOLOGIES_INC_-_ARMV8_(64-BIT)_FAMILY_8_MODEL_805_REVISION_D0E\7"
"OK","System","Qualcomm(R) Memory and File System Device","ACPI\VEN_QCOM&DEV_0409&SUBSYS_CLS08180&REV_0002\0"
"OK","System","Qualcomm(R) Memory and File System Device","ACPI\VEN_QCOM&DEV_0409&SUBSYS_CLS08180&REV_0002\1"
"OK","Display","Microsoft SQ2 Adreno 690 GPU","ACPI\VEN_QCOM&DEV_043A&SUBSYS_MSWW8180&REV_0D15\0"
"OK","System","Qualcomm(R) Memory and File System Device","ACPI\VEN_QCOM&DEV_048C&SUBSYS_CLS08180&REV_0002\2&DABA3FF&0"
"OK","MEDIA","Qualcomm(R) Aqstic(TM) Audio Device","ADCM\VEN_QCOM&DEV_0425&SUBSYS_CLS08180\5&336F2F6E&0&0"
"OK","System","Qualcomm(R) Bus Device","ADSP\VEN_QCOM&DEV_0410&SUBSYS_CLS08180\3&39BFDC76&1&0"
"OK","System","Qualcomm(R) Bus Device","ADSP\VEN_QCOM&DEV_0410&SUBSYS_CLS08180\3&39BFDC76&1&1"
"OK","MEDIA","Surface Qualcomm(R) Aqstic(TM)","AUDD\VEN_QCOM&DEV_042C&SUBSYS_CLS08180\6&14D58086&0&1"
"OK","MEDIA","Qualcomm(R) Multi Button Headset Controller","AUDD\VEN_QCOM&DEV_0437&SUBSYS_CLS08180\6&14D58086&0&0"
"OK","Bluetooth","Microsoft Bluetooth Enumerator","BTH\MS_BTHBRB\4&1DFFE47F&0&1"
"OK","Bluetooth","Microsoft Bluetooth LE Enumerator","BTH\MS_BTHLE\4&1DFFE47F&0&3"
"OK","Net","Bluetooth Device (Personal Area Network)","BTH\MS_BTHPAN\4&1DFFE47F&0&2"
"OK","Bluetooth","Bluetooth Device (RFCOMM Protocol TDI)","BTH\MS_RFCOMM\4&1DFFE47F&0&0"
"OK","Ports","표준 Bluetooth에서 직렬 링크(COM9)","BTHENUM\{00001101-0000-1000-8000-00805F9B34FB}_LOCALMFG&0000\5&270C176A&0&000000000000_00000001"
"OK","Ports","표준 Bluetooth에서 직렬 링크(COM8)","BTHENUM\{00001101-0000-1000-8000-00805F9B34FB}_VID&000105D6_PID&000A\5&270C176A&0&1C521695A8E8_C00000000"
"OK","MEDIA","QCY-T13 ANC","BTHENUM\{0000110B-0000-1000-8000-00805F9B34FB}_VID&000105D6_PID&000A\5&20E1259&0&1C521695A8E8_C00000000"
